VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
3GTU2NEC7JG202715,Allan Turner,Gmc,64009.0,Sierra 1500,40988,2018,8878,32937.5
1C4HJXDG0KW610626,Allan Turner,Jeep,1993.0,Wrangler,40999,2019,9684,39045.0
3GCUKSEC5JG377625,Allan Turner,Chevrolet,38395.0,Silverado 1500,41184,2018,8753,31433.796296296296
1FMJU1KTXJEA53357,Allan Turner,Ford,49783.0,Expedition,41377,2018,8135,42042.1875
1GCPWDED8KZ125634,Allan Turner,Chevrolet,9051.0,Silverado 1500,41499,2019,9174,39582.738095238084
1FTEW1EF0GFA57278,Allan Turner,Ford,20568.0,F-150,41531,2016,7500,28922.727272727272
1FTEW1E52JFA25415,Allan Turner,Ford,20017.0,F-150,43006,2018,8096,34787.5
3GCUKSEC2JG608772,Allan Turner,Chevrolet,15879.0,Silverado 1500,44419,2018,8753,31433.796296296296
JN8AZ2NE1H9159549,Allan Turner,Infiniti,33006.0,QX80,44545,2017,7837,39290.0
3GTU2PEJ4HG385379,Allan Turner,Gmc,34138.0,Sierra 1500,46087,2017,7596,30288.888888888887
1GNSCHKC4LR168706,Allan Turner,Chevrolet,33945.0,Suburban,46515,2020,0,2600.0
3GTU2NEC0JG211823,Allan Turner,Gmc,30320.0,Sierra 1500,46573,2018,8878,32937.5
1GCUYEET6LZ160037,Allan Turner,Chevrolet,3958.0,Silverado 1500,47218,2020,0,2600.0
1FT7W2BT8KEE57158,Allan Turner,Ford,68208.0,F-250SD,48467,2019,0,2600.0
3GCUYEET5LG268018,Allan Turner,Chevrolet,1938.0,Silverado 1500,49453,2020,0,2600.0
1C6SRFJTXKN907720,Allan Turner,Ram,13412.0,1500,49489,2019,9178,34592.41071428572
1GC1KSEY0KF208081,Allan Turner,Chevrolet,53115.0,Silverado 2500HD,49653,2019,9716,
JTJBM7FX8K5210486,Allan Turner,Lexus,13600.0,GX,49879,2019,9742,49300.0
1FT7W2BT9KEC16791,Allan Turner,Ford,46399.0,F-250SD,50623,2019,0,2600.0
1FT7W2BT7KEC16613,Allan Turner,Ford,43555.0,F-250SD,50932,2019,0,2600.0
1GC1KSEY5KF225247,Allan Turner,Chevrolet,63053.0,Silverado 2500HD,51854,2019,9716,
3GTU9DED8LG145054,Allan Turner,Gmc,6685.0,Sierra 1500,52115,2020,0,2600.0
3GCUYHEL0KG279458,Allan Turner,Chevrolet,11114.0,Silverado 1500,52612,2019,9174,39582.738095238084
1FT7W2BT0GEA95656,Allan Turner,Ford,57560.0,F-250SD,54960,2016,0,2600.0
JN1AR54F19M251589,Allan Turner,Nissan,58389.0,GT-R,54987,2009,5165,42325.0
1FT7W2B62HEB67579,Allan Turner,Ford,37093.0,F-250SD,54994,2017,0,2600.0
5LMJJ2LT8JEL04869,Allan Turner,Lincoln,47678.0,Navigator,62695,2018,7668,62472.5
WA1AVAF11KD008304,Allan Turner,Audi,4183.0,Q8,64005,2019,9593,60816.66666666666
1FTFW1RG6JFD79891,Allan Turner,Ford,14594.0,F-150,64729,2018,8096,34787.5
1G1FJ1R62K0140020,Allan Turner,Chevrolet,1709.0,Camaro,65889,2019,9567,36267.307692307695
