,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
241,Allan Turner,Nissan,42325.0,58389.0,GT-R,54987,JN1AR54F19M251589,2009,5165
242,Allan Turner,Lincoln,62472.5,47678.0,Navigator,62695,5LMJJ2LT8JEL04869,2018,7668
243,Allan Turner,Audi,60816.666666666664,4183.0,Q8,64005,WA1AVAF11KD008304,2019,9593
244,Allan Turner,GMC,,38838.0,Sierra 3500HD,65056,1GT42WEY5KF154975,2019,9719
245,Allan Turner,GMC,,7084.0,Sierra 2500HD,67095,1GT12SEY1KF269598,2019,9718
246,Allan Turner,Ford,,0.0,Focus,"<span class=""callforprice"">Please call for price</span>",1FAFP34N17W232763,2007,4636
247,Allan Turner,Jeep,,90938.0,Wrangler,"<span class=""callforprice"">Please call for price</span>",1C4BJWDG3FL565446,2015,7154
248,Allan Turner,Chevrolet,28716.666666666668,122997.0,Tahoe,"<span class=""callforprice"">Please call for price</span>",1GNSCCKC5FR141652,2015,6950
249,Allan Turner,Chevrolet,28716.666666666668,0.0,Tahoe,"<span class=""callforprice"">Please call for price</span>",1GNSCCKC2FR201533,2015,6950
250,Allan Turner,Chevrolet,,42194.0,Spark,"<span class=""callforprice"">Please call for price</span>",KL8CD6SA6KC731116,2019,9565
251,Allan Turner,Kia,11800.0,98066.0,Soul,"<span class=""callforprice"">Please call for price</span>",KNDJN2A25G7302726,2016,7441
252,Allan Turner,Hyundai,12556.25,96943.0,Santa Fe Sport,"<span class=""callforprice"">Please call for price</span>",5XYZU3LB9EG127647,2014,6931
253,Allan Turner,Chrysler,,108651.0,300,"<span class=""callforprice"">Please call for price</span>",2C3CCABG7EH309931,2014,6837
254,Allan Turner,Hyundai,,99682.0,Santa Fe,"<span class=""callforprice"">Please call for price</span>",5XYZKDAGXCG140236,2012,6258
